id,slug,name_kl,name_da,latitude,longitude,feature_type,municipality,status,updated_at
plc_0064f328-8235-4341-87bc-8d197ce33f97,isertoq,Isertoq,Kraulshavn,,,settlement,Sermersooq,active,2026-08-07
plc_013c05d3-fd62-4bc9-8540-8dcbb91ff209,iginniarfik,Iginniarfik,,,,settlement,Qeqertalik,active,2026-08-07
plc_01b13fbf-cafd-4b67-be87-c825d9bfc487,kapisillit,Kapisillit,,,,settlement,Sermersooq,active,2026-08-07
plc_05593b8a-ba4f-4c4f-9c9c-00b2d139c95c,attu,Attu,,,,settlement,Qeqertalik,active,2026-08-07
plc_087444c2-d2c4-44bb-8250-8a376419fb9b,qeqertat,Qeqertat,Kraulshavn,,,settlement,Avannaata,active,2026-08-07
plc_08f6f1db-8148-45a4-8728-5492083bdfb8,itilleq,Itilleq,,,,settlement,Qeqqata,active,2026-08-07
plc_0c776092-d46f-4076-a0e4-37a3f32bcc30,ittoqqortoormiit,Ittoqqortoormiit,Scoresbysund,70.485,-21.962,town,Sermersooq,active,2026-08-01
plc_17dd9625-faf7-40eb-bb72-1a63d9339499,kangerluk,Kangerluk,Diskofjord,,,settlement,Qeqertalik,active,2026-08-07
plc_17dee39b-57fb-448d-b2c8-61b8ca83dbc4,niaqornaarsuk,Niaqornaarsuk,,,,settlement,Qeqertalik,active,2026-08-07
plc_18a77d01-7f1f-4f7d-8ce0-faca14202560,atammik,Atammik,,,,settlement,Qeqqata,active,2026-08-07
plc_1c06718f-c482-4102-bd9d-9e01a1441459,kangerlussuaq,Kangerlussuaq,Søndre Strømfjord,67.008,-50.689,settlement,Qeqqata,active,2026-08-01
plc_28de668b-105f-417c-8ab2-9b01ebebdd38,qasigiannguit,Qasigiannguit,Christianshåb,,,town,Qeqertalik,active,2026-08-07
plc_29708833-3e06-4bd0-bfe8-a00365173fb6,qassimiut,Qassimiut,,,,settlement,Kujalleq,active,2026-08-07
plc_2b7b556d-5c1b-4247-9fb7-4e5a9aed25f2,akunnaaq,Akunnaaq,,,,settlement,Qeqertalik,active,2026-08-07
plc_2e957e7e-3814-4e34-9e07-262eceb32584,paamiut,Paamiut,Frederikshåb,61.994,-49.667,town,Sermersooq,active,2026-08-01
plc_3625c49d-0c9e-4ce6-bd85-2c5e7ad40cb6,illorsuit,Illorsuit,,,,settlement,Avannaata,active,2026-08-07
